food_name,food_category,pathogen,case_fatality_rate,annual_deaths_us,primary_hazard,control_methods,notes,source_id
cheese soft unpasteurized,dairy,Listeria monocytogenes,15-30%,255,yes,pasteurization; aging >60 days,Major outbreak source. Can grow during aging.,CDC-2011-T3
cheese soft unpasteurized,dairy,Salmonella spp.,<1%,378,no,pasteurization; proper aging,Cross-contamination concern.,CDC-2011-T3
eggs raw,eggs,Salmonella Enteritidis,<1%,378,yes,cooking to 71C; pasteurization,Vertical transmission in eggs. 3.6% CFR in nursing home outbreaks.,CDC-2011-T3
eggs raw,eggs,Listeria monocytogenes,15-30%,255,no,cooking; cold chain,Less common but high case fatality.,CDC-2011-T3
infant formula powdered,dairy,Cronobacter sakazakii,40-80% neonates,unknown,yes,reconstitution temp >70C; hygiene,Extremely dangerous to infants <12 months.,FDA-BBB-2012
lettuce raw,vegetable,Escherichia coli O157:H7,3-5% HUS,20,yes,washing; GAP; irradiation,Multiple outbreak source.,CDC-2011-T3
lettuce raw,vegetable,Salmonella spp.,<1%,378,yes,washing; GAP,Common produce pathogen.,CDC-2011-T3
lettuce raw,vegetable,Listeria monocytogenes,15-30%,255,no,washing; cold chain,Can grow on cut produce at refrigeration.,CDC-2011-T3
spinach raw,vegetable,Escherichia coli O157:H7,3-5% HUS,20,yes,washing; GAP,2006 major outbreak source.,CDC-2011-T3
spinach raw,vegetable,Salmonella spp.,<1%,378,yes,washing; GAP,Common produce pathogen.,CDC-2011-T3
sprouts raw,vegetable,Salmonella spp.,<1%,378,yes,seed treatment; cooking,Germination conditions favor bacteria.,CDC-2011-T3
sprouts raw,vegetable,Escherichia coli O157:H7,3-5% HUS,20,yes,seed treatment; cooking,Multiple outbreak source.,CDC-2011-T3
cantaloupe,fruit,Salmonella spp.,<1%,378,yes,washing; cold chain; cut fruit refrigeration,Netted rind harbors bacteria.,CDC-2011-T3
cantaloupe,fruit,Listeria monocytogenes,15-30%,255,yes,washing; cold chain; cut fruit refrigeration,2011 outbreak caused 33 deaths.,CDC-2011-T3
tomatoes,vegetable,Salmonella spp.,<1%,378,yes,washing; GAP; prevent bruising,Multiple outbreak source.,CDC-2011-T3
rice cooked,grain,Bacillus cereus,rare,0,yes,proper cooling <4hr; reheating >74C,Emetic toxin from spore germination after cooking.,CDC-2011-T3
rice cooked,grain,Clostridium perfringens,<1%,26,no,proper cooling <4hr; reheating >74C,Spore germination after cooking.,CDC-2011-T3
deli meats RTE,meat,Listeria monocytogenes,15-30%,255,yes,cold chain <4C; use-by dates; reheating,Major outbreak source. Post-processing contamination.,CDC-2011-T3
deli meats RTE,meat,Salmonella spp.,<1%,378,no,cold chain; prevent cross-contamination,Less common in RTE products.,CDC-2011-T3
hot dogs,meat,Listeria monocytogenes,15-30%,255,yes,reheating until steaming; cold chain,1998-99 outbreak source.,CDC-2011-T3
smoked salmon,fish,Listeria monocytogenes,15-30%,255,yes,cold chain <4C; use-by dates,Cold smoking does not reach listericidal temperature.,CDC-2011-T3
smoked salmon,fish,Clostridium botulinum type E,5-10%,9,yes,proper aw/salt; refrigeration <3C,Anaerobic vacuum-packed product.,CDC-2011-T3
honey,sweetener,Clostridium botulinum,NA infant botulism,0,yes,no honey for infants <12 months,Spores cause infant botulism. Not adult foodborne concern.,FDA-BBB-2012
canned foods low acid,preserved,Clostridium botulinum,5-10%,9,yes,proper thermal processing; acidification,Spores survive inadequate processing.,CDC-2011-T3
